STATISTIČNA REGIJA;STAROSTNI RAZRED;MESEC;DATA
SLOVENIJA;25-29;2016M05;81241
SLOVENIJA;25-29;2016M06;81279
SLOVENIJA;25-29;2016M07;80521
SLOVENIJA;25-29;2016M08;80124
SLOVENIJA;25-29;2016M09;81180
SLOVENIJA;25-29;2016M10;82233
SLOVENIJA;25-29;2016M11;82481
SLOVENIJA;25-29;2016M12;81590
SLOVENIJA;25-29;2017M01;81472
SLOVENIJA;25-29;2017M02;81614
SLOVENIJA;25-29;2017M03;81993
SLOVENIJA;25-29;2017M04;82219
SLOVENIJA;25-29;2017M05;82401
SLOVENIJA;25-29;2017M06;82530
SLOVENIJA;25-29;2017M07;81513
SLOVENIJA;25-29;2017M08;81139
SLOVENIJA;25-29;2017M09;82125
SLOVENIJA;25-29;2017M10;83490
SLOVENIJA;25-29;2017M11;83871
SLOVENIJA;25-29;2017M12;83254
SLOVENIJA;25-29;2018M01;82931
SLOVENIJA;25-29;2018M02;82792
SLOVENIJA;25-29;2018M03;83175
SLOVENIJA;25-29;2018M04;83524
SLOVENIJA;25-29;2018M05;83580
SLOVENIJA;25-29;2018M06;83516
SLOVENIJA;25-29;2018M07;82606
SLOVENIJA;25-29;2018M08;82298
SLOVENIJA;25-29;2018M09;83263
SLOVENIJA;25-29;2018M10;84628
SLOVENIJA;25-29;2018M11;85013
SLOVENIJA;25-29;2018M12;84867
SLOVENIJA;25-29;2019M01;84491
SLOVENIJA;25-29;2019M02;84744
SLOVENIJA;25-29;2019M03;85187
SLOVENIJA;25-29;2019M04;85634
SLOVENIJA;25-29;2019M05;85772
SLOVENIJA;25-29;2019M06;85615
SLOVENIJA;25-29;2019M07;84653
SLOVENIJA;25-29;2019M08;84129
SLOVENIJA;25-29;2019M09;84980
SLOVENIJA;25-29;2019M10;86056
SLOVENIJA;25-29;2019M11;86126
SLOVENIJA;25-29;2019M12;86177
SLOVENIJA;25-29;2020M01;84934
SLOVENIJA;25-29;2020M02;85189
SLOVENIJA;25-29;2020M03;84329
SLOVENIJA;25-29;2020M04;82183
SLOVENIJA;25-29;2020M05;81642
SLOVENIJA;25-29;2020M06;81540
SLOVENIJA;25-29;2020M07;81031
SLOVENIJA;25-29;2020M08;80679
SLOVENIJA;25-29;2020M09;81689
SLOVENIJA;25-29;2020M10;82601
SLOVENIJA;25-29;2020M11;82315
SLOVENIJA;25-29;2020M12;82463
SLOVENIJA;25-29;2021M01;81222
SLOVENIJA;25-29;2021M02;81621
SLOVENIJA;25-29;2021M03;82219
SLOVENIJA;25-29;2021M04;82171
SLOVENIJA;25-29;2021M05;82523
SLOVENIJA;25-29;2021M06;83056
SLOVENIJA;25-29;2021M07;82895
SLOVENIJA;25-29;2021M08;82672
SLOVENIJA;25-29;2021M09;83556
SLOVENIJA;25-29;2021M10;85255
SLOVENIJA;25-29;2021M11;85616
SLOVENIJA;25-29;2021M12;86203
SLOVENIJA;25-29;2022M01;85474
SLOVENIJA;25-29;2022M02;85808
SLOVENIJA;25-29;2022M03;86120
SLOVENIJA;25-29;2022M04;86388
SLOVENIJA;25-29;2022M05;86620
SLOVENIJA;25-29;2022M06;86780
SLOVENIJA;25-29;2022M07;86509
SLOVENIJA;25-29;2022M08;86057
SLOVENIJA;25-29;2022M09;87046
SLOVENIJA;25-29;2022M10;88444
SLOVENIJA;25-29;2022M11;88731
SLOVENIJA;25-29;2022M12;89253
SLOVENIJA;25-29;2023M01;88239
SLOVENIJA;25-29;2023M02;88481
SLOVENIJA;25-29;2023M03;88658
SLOVENIJA;25-29;2023M04;88742
SLOVENIJA;25-29;2023M05;88710
SLOVENIJA;25-29;2023M06;88804
SLOVENIJA;25-29;2023M07;88246
SLOVENIJA;25-29;2023M08;87538
SLOVENIJA;25-29;2023M09;88054
SLOVENIJA;25-29;2023M10;89329
SLOVENIJA;25-29;2023M11;89709
SLOVENIJA;25-29;2023M12;90034
SLOVENIJA;25-29;2024M01;90130
SLOVENIJA;25-29;2024M02;90316
SLOVENIJA;25-29;2024M03;90414
SLOVENIJA;25-29;2024M04;90426
SLOVENIJA;25-29;2024M05;90196
SLOVENIJA;25-29;2024M06;89929
SLOVENIJA;25-29;2024M07;89151
SLOVENIJA;25-29;2024M08;88654
SLOVENIJA;25-29;2024M09;89239
SLOVENIJA;25-29;2024M10;90444
SLOVENIJA;25-29;2024M11;90517
SLOVENIJA;25-29;2024M12;89654
SLOVENIJA;25-29;2025M01;89176
SLOVENIJA;30-34;2010M01;129872
SLOVENIJA;30-34;2010M02;129757
SLOVENIJA;30-34;2010M03;129735
SLOVENIJA;30-34;2010M04;129949
SLOVENIJA;30-34;2010M05;129871
SLOVENIJA;30-34;2010M06;129963
SLOVENIJA;30-34;2010M07;129707
SLOVENIJA;30-34;2010M08;129383
SLOVENIJA;30-34;2010M09;129731
SLOVENIJA;30-34;2010M10;129715
SLOVENIJA;30-34;2010M11;129554
SLOVENIJA;30-34;2010M12;128876
SLOVENIJA;30-34;2011M01;128474
SLOVENIJA;30-34;2011M02;128370
SLOVENIJA;30-34;2011M03;128528
SLOVENIJA;30-34;2011M04;128785
SLOVENIJA;30-34;2011M05;128994
SLOVENIJA;30-34;2011M06;128892
SLOVENIJA;30-34;2011M07;128148
SLOVENIJA;30-34;2011M08;127757
SLOVENIJA;30-34;2011M09;127657
SLOVENIJA;30-34;2011M10;127287
SLOVENIJA;30-34;2011M11;127122
SLOVENIJA;30-34;2011M12;126379
SLOVENIJA;30-34;2012M01;125592
